,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
100102,26.33866666666676,6.313333333333355,40.808975823779015,59,146.65133142759294,0.5026706190944463,catalog,83157,25.0,32,66,True,radio,0,102779
100103,26.470666666666748,5.01133333333335,40.44505040587224,65,143.89653548146376,0.4943407807387941,catalog,68713,25.0,32,67,True,radio,0,102780
47,25.72000000000008,5.492666666666685,40.01298335567599,1,200.8058737988217,0.6893139556961287,catalog,87628,40.0,6,68,False,radio,0,62
48,26.7380000000001,6.173333333333354,38.2009568724179,37,192.6296154215388,0.6604451136220043,catalog,21933,30.0,7,69,False,radio,0,63
49,25.08600000000008,6.368000000000022,37.56852575734913,32,158.28813013480928,0.5425004398988827,catalog,40635,30.0,7,70,False,radio,0,65
50,26.90933333333341,5.900666666666687,36.48793699672912,26,187.9383883688025,0.6446855173599111,catalog,12048,30.0,7,71,False,radio,0,67
51,25.190000000000087,5.5980000000000185,36.059467674003706,24,170.32238238965903,0.5845678228034817,catalog,68074,30.0,7,72,False,radio,0,68
52,25.51200000000009,5.450000000000019,35.88619466586082,23,183.64755599223665,0.6304588703390969,catalog,27169,30.0,7,73,False,radio,0,69
53,25.29933333333341,5.197333333333351,35.36770919712725,22,175.02978828532034,0.6011215299579142,catalog,53906,30.0,7,74,False,radio,0,70
100104,25.05333333333342,5.280000000000018,34.8982022456163,48,121.34777733006136,0.4167009064380504,catalog,78692,25.0,32,75,True,radio,0,102782
54,26.34733333333343,5.188000000000018,34.32245913571727,20,173.96417350068407,0.5974705297910503,catalog,49606,30.0,7,76,False,radio,0,72
55,26.33200000000009,6.266000000000021,34.07718797910328,19,171.5289422075801,0.587996180873898,catalog,59605,30.0,7,77,False,radio,0,73
56,25.972000000000083,6.53866666666669,32.34381280834345,10,146.37190974783022,0.5014910724968028,catalog,38977,30.0,7,78,False,radio,0,74
100105,26.899333333333416,6.237333333333354,31.968259762448,39,108.95557187153506,0.3735171308217322,catalog,37737,25.0,32,79,True,radio,0,102783
101112,26.21533333333342,6.246000000000021,31.73666254042414,33,111.2640292326112,0.3814245234596414,catalog,1937,25.0,45,80,True,cib,0,103798
57,27.02533333333342,6.829333333333357,31.103685075326823,7,140.18338876174448,0.480002558030048,catalog,82908,30.0,7,81,False,radio,0,76
58,26.8160000000001,5.428000000000019,30.452069889484235,1,160.2139355745925,0.5500318666180133,catalog,33192,30.0,7,82,False,radio,0,78
100106,25.0313333333334,4.934000000000017,30.24400382610786,28,103.5928492477077,0.3559236227175829,catalog,92304,25.0,32,83,True,radio,0,102784
59,25.386000000000084,7.019333333333357,29.37935733792922,23,132.37760819786428,0.4530923842653889,catalog,54374,25.0,8,84,False,radio,0,79
100107,25.88400000000009,5.290666666666684,28.56464008661517,19,103.2472843179178,0.3545387890718202,catalog,83141,25.0,32,85,True,radio,0,102786
60,25.720666666666745,6.972000000000024,28.46582389305016,20,134.87805312228255,0.4616973269068019,catalog,94646,25.0,8,86,False,radio,0,80
61,26.629333333333435,5.016000000000017,28.096064890017985,17,144.13785336627282,0.4951662970137252,catalog,10403,25.0,8,87,False,cib,0,83
62,26.02466666666674,5.203333333333351,27.809025379248936,18,140.70344211634202,0.4832267328335277,catalog,48849,25.0,8,88,False,radio,0,84
63,26.45933333333342,5.588000000000019,27.437921474890366,19,133.8896821566416,0.4595341262898744,catalog,75507,25.0,8,89,False,radio,0,85
100108,26.81666666666676,5.780666666666686,27.036638076832272,12,96.36047855588475,0.3306162089805957,catalog,101471,25.0,32,90,True,radio,0,102787
100109,25.521333333333423,5.8093333333333526,26.94891401798291,12,91.8577846191269,0.31515129237902,map,-1,25.0,32,91,True,radio,0,102788
64,26.42333333333341,6.442000000000022,26.7360782154983,11,129.3844154599276,0.4433742653391797,catalog,51574,25.0,8,92,False,radio,0,86
65,26.89200000000008,5.512000000000018,26.31070786634545,7,128.30104912234916,0.4404096669601064,catalog,6,25.0,8,93,False,cib,0,88
