,RADeg,decDeg,y_c,SNR,numSigPix,snr_threshold,template,iter_idx,idx,iter_num,patch_num,patch_idx
377,26.738666666666763,5.140666666666684,3.887585053703116e-06,4.77095985526997,69,4.0,gauss0.25arcmin,24,380,17,0,377.0
378,26.51800000000009,5.313333333333351,3.886480504070644e-06,4.769856551257662,70,4.0,gauss0.25arcmin,25,381,17,0,378.0
379,25.74466666666676,5.01533333333335,3.7509294987684097e-06,4.766737770717364,54,4.0,gauss0.25arcmin,26,382,17,0,379.0
637,26.85533333333343,5.110666666666684,3.7187907989017303e-06,4.762230030479257,63,4.0,gauss0.25arcmin,1,383,18,0,637.0
380,26.38866666666676,5.755333333333353,3.798390786930457e-06,4.758910395842611,58,4.0,gauss0.25arcmin,27,384,17,0,380.0
381,25.340666666666745,5.307333333333351,2.909791424821123e-06,4.758123082452061,189,4.0,gauss0.4arcmin,645,385,17,0,381.0
382,26.67933333333343,6.222000000000021,3.7939864035615256e-06,4.7571882965938,78,4.0,gauss0.25arcmin,28,386,17,0,382.0
383,26.34866666666676,5.1800000000000175,3.831542253720109e-06,4.747946111411777,63,4.0,gauss0.25arcmin,30,387,17,0,383.0
384,25.324666666666733,7.004000000000024,2.462289587442149e-06,4.744949360923025,298,4.0,gauss0.6arcmin,1073,388,17,0,384.0
385,26.440000000000087,5.754000000000019,2.546020547271144e-06,4.742948832511211,509,4.0,gauss0.75arcmin,1290,389,17,0,385.0
386,25.78733333333341,5.080666666666684,3.768067960485395e-06,4.74131807068213,68,4.0,gauss0.25arcmin,31,390,17,0,386.0
387,26.66466666666675,5.153333333333351,3.435842053592626e-06,4.740283962887719,102,4.0,gauss0.3arcmin,273,391,17,0,387.0
388,25.921333333333425,6.466666666666688,2.5177188498569184e-06,4.734817690016432,704,4.0,gauss0.75arcmin,1291,392,17,0,388.0
389,25.25333333333341,6.049333333333354,3.642012754305017e-06,4.731554186644118,52,4.0,gauss0.25arcmin,32,393,17,0,389.0
390,26.635333333333417,6.296666666666688,3.737241454980223e-06,4.730778637264932,52,4.0,gauss0.25arcmin,33,394,17,0,390.0
391,25.875333333333412,6.070666666666687,2.541947444350486e-06,4.725277190255936,488,4.0,gauss0.75arcmin,1292,395,17,0,391.0
392,25.13000000000009,5.096000000000017,3.698704297087577e-06,4.724675626657662,55,4.0,gauss0.25arcmin,34,396,17,0,392.0
393,26.32533333333341,5.264000000000018,3.3784673725679146e-06,4.723394487741278,97,4.0,gauss0.3arcmin,274,397,17,0,393.0
394,25.615333333333407,5.162666666666684,3.054402957029277e-06,4.722528426179544,132,4.0,gauss0.35arcmin,483,398,17,0,394.0
395,25.627333333333425,6.576666666666689,2.437618553999949e-06,4.715576023965842,373,4.0,gauss0.7arcmin,1228,399,17,0,395.0
396,26.05933333333342,6.316000000000021,3.684781554802724e-06,4.715298028767901,50,4.0,gauss0.25arcmin,36,400,17,0,396.0
397,26.920666666666747,5.326666666666685,3.415354648648664e-06,4.71465803418466,94,4.0,gauss0.3arcmin,277,401,17,0,397.0
398,25.85333333333342,6.42866666666669,3.638187690352816e-06,4.712268835812333,56,4.0,gauss0.25arcmin,38,402,17,0,398.0
399,25.63333333333341,5.99200000000002,3.650406116257648e-06,4.70657662406812,60,4.0,gauss0.25arcmin,39,403,17,0,399.0
400,26.047333333333423,5.75800000000002,3.7142262755413863e-06,4.706489307772869,69,4.0,gauss0.25arcmin,40,404,17,0,400.0
401,26.255333333333414,6.432666666666688,3.224417436339009e-06,4.705401024684703,96,4.0,gauss0.3arcmin,279,405,17,0,401.0
638,25.13400000000008,7.015333333333357,2.2648503979578016e-06,4.702382307449417,282,4.0,gauss0.6arcmin,246,406,18,0,638.0
639,25.315333333333424,6.743333333333356,3.4777817321136597e-06,4.698289944687172,55,4.0,gauss0.25arcmin,2,407,18,0,639.0
402,24.97000000000008,5.020666666666684,3.591483067673285e-06,4.696812558759225,73,4.0,gauss0.25arcmin,41,408,17,0,402.0
403,25.318000000000083,6.86266666666669,3.597767849494425e-06,4.693581616704375,68,4.0,gauss0.25arcmin,43,409,17,0,403.0
404,26.160666666666742,6.448000000000022,3.618324494318785e-06,4.69013711144885,74,4.0,gauss0.25arcmin,44,410,17,0,404.0
405,25.38466666666676,5.154000000000018,3.024969742005153e-06,4.689575498542722,128,4.0,gauss0.35arcmin,488,411,17,0,405.0
406,26.546000000000088,6.276000000000021,3.039368056170005e-06,4.687158949817941,119,4.0,gauss0.35arcmin,490,412,17,0,406.0
407,26.01133333333342,5.389333333333352,3.728751317096741e-06,4.686959795885375,60,4.0,gauss0.25arcmin,45,413,17,0,407.0
408,25.330666666666744,5.83800000000002,2.4146452896593787e-06,4.686357704955497,635,4.0,gauss0.75arcmin,1296,414,17,0,408.0
409,25.806000000000083,5.8093333333333526,3.691723062804684e-06,4.682885391561593,52,4.0,gauss0.25arcmin,46,415,17,0,409.0
410,26.242000000000093,5.698000000000019,3.707939055619759e-06,4.682025740792814,56,4.0,gauss0.25arcmin,47,416,17,0,410.0
411,26.020666666666752,5.147333333333351,2.624077188822689e-06,4.679259566999021,255,4.0,gauss0.55arcmin,992,417,17,0,411.0
412,25.478666666666765,5.730666666666686,3.6113379006279816e-06,4.677891055078025,64,4.0,gauss0.25arcmin,49,418,17,0,412.0
413,25.57600000000007,5.3640000000000185,3.66671156925522e-06,4.676000437444665,53,4.0,gauss0.25arcmin,50,419,17,0,413.0
414,26.909333333333414,5.970666666666687,3.3142170618364767e-06,4.673393538429778,90,4.0,gauss0.3arcmin,283,420,17,0,414.0
415,25.58200000000008,6.171333333333354,3.2015074472079447e-06,4.6693832029794375,106,4.0,gauss0.3arcmin,286,421,17,0,415.0
416,26.98466666666676,6.103333333333354,3.280165555178145e-06,4.668440948256741,101,4.0,gauss0.3arcmin,287,422,17,0,416.0
417,26.244666666666756,5.203333333333351,3.7198262632304e-06,4.6651260552699485,56,4.0,gauss0.25arcmin,51,423,17,0,417.0
418,25.38066666666674,5.010666666666683,2.975631636616171e-06,4.663153028134466,118,4.0,gauss0.35arcmin,491,424,17,0,418.0
419,26.12133333333341,5.15933333333335,3.042829752800944e-06,4.661211678634779,122,4.0,gauss0.35arcmin,492,425,17,0,419.0
420,26.11733333333342,6.349333333333354,3.619402265330031e-06,4.652604767284597,53,4.0,gauss0.25arcmin,53,426,17,0,420.0
421,26.61200000000009,6.473333333333355,3.163523143438044e-06,4.650582366036492,93,4.0,gauss0.3arcmin,291,427,17,0,421.0
